Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Login,Firefox 126.0,,,25-05-2024 20:50:59,25-05-2024 20:53:12,2m - 12.887s,FAILED
,,,,,,,
Test Cases/Login,Firefox 126.0,,,25-05-2024 20:50:59,25-05-2024 20:51:18,18.964s,PASSED
"openBrowser("""")",Firefox 126.0,,,25-05-2024 20:50:59,25-05-2024 20:51:03,3.416s,PASSED
"navigateToUrl(""https://metrodataacademy.id/metrodata-training/list"")",Firefox 126.0,,,25-05-2024 20:51:03,25-05-2024 20:51:05,2.612s,PASSED
"click(findTestObject(""Object Repository/Page_Metrodata Academy/a_Masuk""))",Firefox 126.0,,,25-05-2024 20:51:05,25-05-2024 20:51:07,1.763s,PASSED
"setText(findTestObject(""Object Repository/Page_Metrodata Academy/input__email""), ""papahgilak@gmail.com"")",Firefox 126.0,,,25-05-2024 20:51:07,25-05-2024 20:51:08,0.624s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Metrodata Academy/input__password""), ""ANgLrNN9LeX238E+iUxpGw=="")",Firefox 126.0,,,25-05-2024 20:51:08,25-05-2024 20:51:08,0.456s,PASSED
"click(findTestObject(""Object Repository/Page_Metrodata Academy/button_Masuk""))",Firefox 126.0,,,25-05-2024 20:51:08,25-05-2024 20:51:09,0.535s,PASSED
"click(findTestObject(""Object Repository/Page_Metrodata Academy/svg_M Gilang Rizky Ramadhan_w-5 h-5 ml-1""))",Firefox 126.0,,,25-05-2024 20:51:09,25-05-2024 20:51:16,7.865s,PASSED
"click(findTestObject(""Object Repository/Page_Metrodata Academy/button_Keluar""))",Firefox 126.0,,,25-05-2024 20:51:16,25-05-2024 20:51:17,0.615s,PASSED
closeBrowser(),Firefox 126.0,,,25-05-2024 20:51:17,25-05-2024 20:51:18,0.750s,PASSED
,,,,,,,
Test Cases/Login_Normal,Firefox 126.0,,,25-05-2024 20:51:18,25-05-2024 20:51:39,21.238s,PASSED
"openBrowser("""")",Firefox 126.0,,,25-05-2024 20:51:18,25-05-2024 20:51:20,2.495s,PASSED
"navigateToUrl(""https://metrodataacademy.id/metrodata-training/list"")",Firefox 126.0,,,25-05-2024 20:51:20,25-05-2024 20:51:25,4.515s,PASSED
"click(findTestObject(""Page_Metrodata Academy/a_Masuk""))",Firefox 126.0,,,25-05-2024 20:51:25,25-05-2024 20:51:27,2.251s,PASSED
"setText(findTestObject(""Page_Metrodata Academy/input__email""), username)",Firefox 126.0,,,25-05-2024 20:51:27,25-05-2024 20:51:28,0.594s,PASSED
"setEncryptedText(findTestObject(""Page_Metrodata Academy/input__password""), password)",Firefox 126.0,,,25-05-2024 20:51:28,25-05-2024 20:51:28,0.442s,PASSED
"click(findTestObject(""Page_Metrodata Academy/button_Masuk""))",Firefox 126.0,,,25-05-2024 20:51:28,25-05-2024 20:51:29,0.532s,PASSED
"click(findTestObject(""Page_Metrodata Academy/svg_M Gilang Rizky Ramadhan_w-5 h-5 ml-1""))",Firefox 126.0,,,25-05-2024 20:51:29,25-05-2024 20:51:37,7.858s,PASSED
"click(findTestObject(""Page_Metrodata Academy/button_Keluar""))",Firefox 126.0,,,25-05-2024 20:51:37,25-05-2024 20:51:38,1.493s,PASSED
closeBrowser(STOP_ON_FAILURE),Firefox 126.0,,,25-05-2024 20:51:38,25-05-2024 20:51:39,0.935s,PASSED
,,,,,,,
Test Cases/Login_Normal,Firefox 126.0,,,25-05-2024 20:52:50,25-05-2024 20:53:12,21.694s,FAILED
"openBrowser("""")",Firefox 126.0,,,25-05-2024 20:52:50,25-05-2024 20:52:53,3.502s,PASSED
"navigateToUrl(""https://metrodataacademy.id/metrodata-training/list"")",Firefox 126.0,,,25-05-2024 20:52:53,25-05-2024 20:52:56,2.203s,PASSED
"click(findTestObject(""Page_Metrodata Academy/a_Masuk""))",Firefox 126.0,,,25-05-2024 20:52:56,25-05-2024 20:52:57,1.538s,PASSED
"setText(findTestObject(""Page_Metrodata Academy/input__email""), username)",Firefox 126.0,,,25-05-2024 20:52:57,25-05-2024 20:52:58,0.560s,PASSED
"setEncryptedText(findTestObject(""Page_Metrodata Academy/input__password""), password)",Firefox 126.0,,,25-05-2024 20:52:58,25-05-2024 20:52:58,0.404s,PASSED
"click(findTestObject(""Page_Metrodata Academy/button_Masuk""))",Firefox 126.0,,,25-05-2024 20:52:58,25-05-2024 20:52:59,0.492s,PASSED
"click(findTestObject(""Page_Metrodata Academy/svg_M Gilang Rizky Ramadhan_w-5 h-5 ml-1""))",Firefox 126.0,,,25-05-2024 20:52:59,25-05-2024 20:53:12,12.977s,FAILED
