Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
EditProfileTestCase,Chrome 125.0.0.0,,,26-05-2024 03:45:16,26-05-2024 03:46:51,1m - 34.425s,PASSED
,,,,,,,
Test Cases/RecordEditProfileAkun/EditProfileAkun,Chrome 125.0.0.0,,,26-05-2024 03:45:17,26-05-2024 03:46:51,1m - 34.110s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,26-05-2024 03:45:17,26-05-2024 03:45:20,2.683s,PASSED
"navigateToUrl(""https://metrodataacademy.id/"")",Chrome 125.0.0.0,,,26-05-2024 03:45:20,26-05-2024 03:45:23,3.064s,PASSED
"click(findTestObject(""Object Repository/Page_Edit Profile Akun Metrodata Academy/a_Masuk""))",Chrome 125.0.0.0,,,26-05-2024 03:45:23,26-05-2024 03:45:27,4.322s,PASSED
"navigateToUrl(""https://metrodataacademy.id/sign-in"")",Chrome 125.0.0.0,,,26-05-2024 03:45:27,26-05-2024 03:45:28,0.402s,PASSED
"setText(findTestObject(""Object Repository/Page_Edit Profile Akun Metrodata Academy/input__email""), ""christiansimanjuntak12@gmail.com"")",Chrome 125.0.0.0,,,26-05-2024 03:45:28,26-05-2024 03:45:29,0.878s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Edit Profile Akun Metrodata Academy/input__password""), ""AJxgTO7PuudFJYJNyubGtA=="")",Chrome 125.0.0.0,,,26-05-2024 03:45:29,26-05-2024 03:45:29,0.542s,PASSED
"click(findTestObject(""Object Repository/Page_Edit Profile Akun Metrodata Academy/button_Masuk""))",Chrome 125.0.0.0,,,26-05-2024 03:45:29,26-05-2024 03:45:30,0.443s,PASSED
"click(findTestObject(""Page_Edit Profile Akun Metrodata Academy/button_Hendrik Christian""))",Chrome 125.0.0.0,,,26-05-2024 03:45:30,26-05-2024 03:46:04,34.669s,PASSED
"click(findTestObject(""Object Repository/Page_Edit Profile Akun Metrodata Academy/a_Akun Saya""))",Chrome 125.0.0.0,,,26-05-2024 03:46:04,26-05-2024 03:46:37,32.227s,PASSED
"navigateToUrl(""https://metrodataacademy.id/profile"")",Chrome 125.0.0.0,,,26-05-2024 03:46:37,26-05-2024 03:46:37,0.283s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Edit Profile Akun Metrodata Academy/select_Pilih Jenis KelaminLaki-LakiPerempuan""), ""L"", true)",Chrome 125.0.0.0,,,26-05-2024 03:46:37,26-05-2024 03:46:38,1.338s,PASSED
"click(findTestObject(""Object Repository/Page_Edit Profile Akun Metrodata Academy/input__phoneNumber""))",Chrome 125.0.0.0,,,26-05-2024 03:46:38,26-05-2024 03:46:39,0.414s,PASSED
"setText(findTestObject(""Object Repository/Page_Edit Profile Akun Metrodata Academy/input__phoneNumber""), ""85395374206"")",Chrome 125.0.0.0,,,26-05-2024 03:46:39,26-05-2024 03:46:39,0.792s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Edit Profile Akun Metrodata Academy/select_Pilih ProvinsiACEHSUMATERA UTARASUMA_0888d3""), ""31"", true)",Chrome 125.0.0.0,,,26-05-2024 03:46:39,26-05-2024 03:46:41,1.599s,PASSED
"selectOptionByValue(findTestObject(""Page_Edit Profile Akun Metrodata Academy/select_Pilih KotaKABUPATEN KEPULAUAN SERIBU_039097""), ""3174"", true)",Chrome 125.0.0.0,,,26-05-2024 03:46:41,26-05-2024 03:46:42,1.196s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Edit Profile Akun Metrodata Academy/select_Pilih UniversitasUniversitas Stikuba_a88121""), ""5b14b6f4-07b8-49d5-ab63-c2d2cd8fb6ec"", true)",Chrome 125.0.0.0,,,26-05-2024 03:46:42,26-05-2024 03:46:44,1.840s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Edit Profile Akun Metrodata Academy/select_Pilih JurusanIlmu KomputerTeknik Ele_ad8856""), ""c5735516-b73f-42a0-8a5c-bf805242d142"", true)",Chrome 125.0.0.0,,,26-05-2024 03:46:44,26-05-2024 03:46:45,1.204s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Edit Profile Akun Metrodata Academy/select_Pilih GelarD3S1S2S3""), ""S1"", true)",Chrome 125.0.0.0,,,26-05-2024 03:46:45,26-05-2024 03:46:46,0.955s,PASSED
"click(findTestObject(""Object Repository/Page_Edit Profile Akun Metrodata Academy/button_Simpan""))",Chrome 125.0.0.0,,,26-05-2024 03:46:46,26-05-2024 03:46:47,0.405s,PASSED
delay(4),Chrome 125.0.0.0,,,26-05-2024 03:46:47,26-05-2024 03:46:51,4.053s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,26-05-2024 03:46:51,26-05-2024 03:46:51,0.242s,PASSED
