Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
LoginTestCase,Chrome 125.0.0.0,,,26-05-2024 04:16:31,26-05-2024 04:17:02,31.211s,PASSED
,,,,,,,
Test Cases/RecordLoginLogout/LoginTestNormal,Chrome 125.0.0.0,,,26-05-2024 04:16:31,26-05-2024 04:16:48,16.653s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,26-05-2024 04:16:32,26-05-2024 04:16:34,2.346s,PASSED
"navigateToUrl(""https://metrodataacademy.id/"")",Chrome 125.0.0.0,,,26-05-2024 04:16:34,26-05-2024 04:16:34,0.106s,PASSED
"click(findTestObject(""Page_Login Logout Metrodata Academy/a_Masuk""))",Chrome 125.0.0.0,,,26-05-2024 04:16:34,26-05-2024 04:16:41,7.171s,PASSED
"navigateToUrl(""https://metrodataacademy.id/sign-in"")",Chrome 125.0.0.0,,,26-05-2024 04:16:41,26-05-2024 04:16:42,0.316s,PASSED
"setText(findTestObject(""Object Repository/Page_Login Logout Metrodata Academy/input__email""), ""christiansimanjuntak12@gmail.com"")",Chrome 125.0.0.0,,,26-05-2024 04:16:42,26-05-2024 04:16:43,0.812s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Login Logout Metrodata Academy/input__password""), ""AJxgTO7PuudFJYJNyubGtA=="")",Chrome 125.0.0.0,,,26-05-2024 04:16:43,26-05-2024 04:16:43,0.526s,PASSED
"click(findTestObject(""Object Repository/Page_Login Logout Metrodata Academy/button_Masuk""))",Chrome 125.0.0.0,,,26-05-2024 04:16:43,26-05-2024 04:16:44,0.434s,PASSED
delay(4),Chrome 125.0.0.0,,,26-05-2024 04:16:44,26-05-2024 04:16:48,4.085s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,26-05-2024 04:16:48,26-05-2024 04:16:48,0.367s,PASSED
,,,,,,,
Test Cases/RecordLoginLogout/LoginTestAbnormal,Chrome 125.0.0.0,,,26-05-2024 04:16:48,26-05-2024 04:17:02,14.279s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,26-05-2024 04:16:48,26-05-2024 04:16:49,1.078s,PASSED
"navigateToUrl(""https://metrodataacademy.id/"")",Chrome 125.0.0.0,,,26-05-2024 04:16:49,26-05-2024 04:16:53,3.432s,PASSED
"click(findTestObject(""Page_Login Logout Metrodata Academy/a_Masuk""))",Chrome 125.0.0.0,,,26-05-2024 04:16:53,26-05-2024 04:16:57,3.839s,PASSED
"navigateToUrl(""https://metrodataacademy.id/sign-in"")",Chrome 125.0.0.0,,,26-05-2024 04:16:57,26-05-2024 04:16:57,0.314s,PASSED
"setText(findTestObject(""Object Repository/Page_Login Logout Metrodata Academy/input__email""), ""christiansimanjuntak12@gmail.com"")",Chrome 125.0.0.0,,,26-05-2024 04:16:57,26-05-2024 04:16:58,0.759s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Login Logout Metrodata Academy/input__password""), ""26yoZb0Fg8S/8NrKc5x65w=="")",Chrome 125.0.0.0,,,26-05-2024 04:16:58,26-05-2024 04:16:58,0.534s,PASSED
"click(findTestObject(""Object Repository/Page_Login Logout Metrodata Academy/button_Masuk""))",Chrome 125.0.0.0,,,26-05-2024 04:16:58,26-05-2024 04:16:59,0.395s,PASSED
delay(3),Chrome 125.0.0.0,,,26-05-2024 04:16:59,26-05-2024 04:17:02,3.009s,PASSED
"click(findTestObject(""Object Repository/Page_Login Logout Metrodata Academy/button_Try Again""))",Chrome 125.0.0.0,,,26-05-2024 04:17:02,26-05-2024 04:17:02,0.396s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,26-05-2024 04:17:02,26-05-2024 04:17:02,0.304s,PASSED
