Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
LogoutTestCase,Chrome 125.0.0.0,,,26-05-2024 04:17:17,26-05-2024 04:18:14,56.835s,PASSED
,,,,,,,
Test Cases/RecordLoginLogout/LogoutTest,Chrome 125.0.0.0,,,26-05-2024 04:17:17,26-05-2024 04:18:14,56.554s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,26-05-2024 04:17:18,26-05-2024 04:17:21,2.904s,PASSED
"navigateToUrl(""https://metrodataacademy.id/"")",Chrome 125.0.0.0,,,26-05-2024 04:17:21,26-05-2024 04:17:21,0.218s,PASSED
"click(findTestObject(""Page_Login Logout Metrodata Academy/a_Masuk""))",Chrome 125.0.0.0,,,26-05-2024 04:17:21,26-05-2024 04:17:29,7.816s,PASSED
"navigateToUrl(""https://metrodataacademy.id/sign-in"")",Chrome 125.0.0.0,,,26-05-2024 04:17:29,26-05-2024 04:17:29,0.380s,PASSED
"setText(findTestObject(""Object Repository/Page_Login Logout Metrodata Academy/input__email""), ""christiansimanjuntak12@gmail.com"")",Chrome 125.0.0.0,,,26-05-2024 04:17:29,26-05-2024 04:17:30,0.904s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Login Logout Metrodata Academy/input__password""), ""AJxgTO7PuudFJYJNyubGtA=="")",Chrome 125.0.0.0,,,26-05-2024 04:17:30,26-05-2024 04:17:31,0.555s,PASSED
"click(findTestObject(""Object Repository/Page_Login Logout Metrodata Academy/button_Masuk""))",Chrome 125.0.0.0,,,26-05-2024 04:17:31,26-05-2024 04:17:31,0.427s,PASSED
"click(findTestObject(""Object Repository/Page_Login Logout Metrodata Academy/button_Hendrik Christian""))",Chrome 125.0.0.0,,,26-05-2024 04:17:31,26-05-2024 04:17:39,7.970s,PASSED
"click(findTestObject(""Object Repository/Page_Login Logout Metrodata Academy/button_Keluar""))",Chrome 125.0.0.0,,,26-05-2024 04:17:39,26-05-2024 04:18:11,31.513s,PASSED
delay(3),Chrome 125.0.0.0,,,26-05-2024 04:18:11,26-05-2024 04:18:14,3.058s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,26-05-2024 04:18:14,26-05-2024 04:18:14,0.363s,PASSED
