Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Kelompok 2,Chrome 125.0.0.0,,,26-05-2024 21:38:11,26-05-2024 21:42:34,4m - 23.119s,PASSED
,,,,,,,
Test Cases/Login_Normal,Chrome 125.0.0.0,,,26-05-2024 21:38:11,26-05-2024 21:38:32,21.271s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,26-05-2024 21:38:11,26-05-2024 21:38:13,1.793s,PASSED
maximizeWindow(),Chrome 125.0.0.0,,,26-05-2024 21:38:13,26-05-2024 21:38:13,0.065s,PASSED
"navigateToUrl(""https://metrodataacademy.id/metrodata-training/list"")",Chrome 125.0.0.0,,,26-05-2024 21:38:13,26-05-2024 21:38:16,3.366s,PASSED
"click(findTestObject(""Page_Metrodata Academy/a_Masuk""))",Chrome 125.0.0.0,,,26-05-2024 21:38:16,26-05-2024 21:38:21,4.199s,PASSED
"setText(findTestObject(""Page_Metrodata Academy/input__email""), username)",Chrome 125.0.0.0,,,26-05-2024 21:38:21,26-05-2024 21:38:22,1.108s,PASSED
"setEncryptedText(findTestObject(""Page_Metrodata Academy/input__password""), password)",Chrome 125.0.0.0,,,26-05-2024 21:38:22,26-05-2024 21:38:22,0.723s,PASSED
"click(findTestObject(""Page_Metrodata Academy/button_Masuk""))",Chrome 125.0.0.0,,,26-05-2024 21:38:22,26-05-2024 21:38:23,0.416s,PASSED
"click(findTestObject(""Page_Metrodata Academy/svg_M Gilang Rizky Ramadhan_w-5 h-5 ml-1""))",Chrome 125.0.0.0,,,26-05-2024 21:38:23,26-05-2024 21:38:31,8.375s,PASSED
"click(findTestObject(""Page_Metrodata Academy/button_Keluar""))",Chrome 125.0.0.0,,,26-05-2024 21:38:31,26-05-2024 21:38:32,0.552s,PASSED
closeBrowser(STOP_ON_FAILURE),Chrome 125.0.0.0,,,26-05-2024 21:38:32,26-05-2024 21:38:32,0.326s,PASSED
,,,,,,,
Test Cases/Login_Normal,Chrome 125.0.0.0,,,26-05-2024 21:38:32,26-05-2024 21:38:57,25.268s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,26-05-2024 21:38:32,26-05-2024 21:38:33,0.764s,PASSED
